who,pro_com,selectedhospitalemp,selectedhospital,rescale15,distance_threshold,n_network,weight_distance_hospital,weight_ownranking,social_multiplier,show_networks,updaterank_mean,updaterank_sd,emp_net
310,51002,48,48,false,0,50,-10,0,10,false,0,0,false
311,51002,48,60,false,0,50,-10,0,10,false,0,0,false
312,51002,48,60,false,0,50,-10,0,10,false,0,0,false
313,51002,48,60,false,0,50,-10,0,10,false,0,0,false
314,51002,48,60,false,0,50,-10,0,10,false,0,0,false
315,51002,48,50,false,0,50,-10,0,10,false,0,0,false
316,51002,48,61,false,0,50,-10,0,10,false,0,0,false
317,51002,48,61,false,0,50,-10,0,10,false,0,0,false
318,51002,48,61,false,0,50,-10,0,10,false,0,0,false
319,51002,48,61,false,0,50,-10,0,10,false,0,0,false
320,51002,48,50,false,0,50,-10,0,10,false,0,0,false
321,51002,48,61,false,0,50,-10,0,10,false,0,0,false
322,51002,48,61,false,0,50,-10,0,10,false,0,0,false
323,51002,48,48,false,0,50,-10,0,10,false,0,0,false
324,51002,48,63,false,0,50,-10,0,10,false,0,0,false
325,51002,48,50,false,0,50,-10,0,10,false,0,0,false
326,51002,48,48,false,0,50,-10,0,10,false,0,0,false
327,51002,48,63,false,0,50,-10,0,10,false,0,0,false
328,51002,48,61,false,0,50,-10,0,10,false,0,0,false
329,51002,48,63,false,0,50,-10,0,10,false,0,0,false
330,51002,48,48,false,0,50,-10,0,10,false,0,0,false
331,51002,48,60,false,0,50,-10,0,10,false,0,0,false
332,51002,48,61,false,0,50,-10,0,10,false,0,0,false
333,51002,48,63,false,0,50,-10,0,10,false,0,0,false
334,51002,48,63,false,0,50,-10,0,10,false,0,0,false
335,51002,48,60,false,0,50,-10,0,10,false,0,0,false
336,51002,48,63,false,0,50,-10,0,10,false,0,0,false
337,51002,48,63,false,0,50,-10,0,10,false,0,0,false
338,51002,48,63,false,0,50,-10,0,10,false,0,0,false
339,51002,48,56,false,0,50,-10,0,10,false,0,0,false
340,51002,48,48,false,0,50,-10,0,10,false,0,0,false
341,51002,48,58,false,0,50,-10,0,10,false,0,0,false
342,51002,48,58,false,0,50,-10,0,10,false,0,0,false
343,51002,48,63,false,0,50,-10,0,10,false,0,0,false
344,51002,48,48,false,0,50,-10,0,10,false,0,0,false
345,51002,48,48,false,0,50,-10,0,10,false,0,0,false
346,51002,48,48,false,0,50,-10,0,10,false,0,0,false
347,51002,48,48,false,0,50,-10,0,10,false,0,0,false
348,51002,48,61,false,0,50,-10,0,10,false,0,0,false
349,51002,48,50,false,0,50,-10,0,10,false,0,0,false
350,51002,48,61,false,0,50,-10,0,10,false,0,0,false
351,51002,48,50,false,0,50,-10,0,10,false,0,0,false
352,51002,48,60,false,0,50,-10,0,10,false,0,0,false
353,51002,48,50,false,0,50,-10,0,10,false,0,0,false
354,51002,48,61,false,0,50,-10,0,10,false,0,0,false
355,51002,48,48,false,0,50,-10,0,10,false,0,0,false
356,51002,48,61,false,0,50,-10,0,10,false,0,0,false
357,51002,48,50,false,0,50,-10,0,10,false,0,0,false
358,51002,48,50,false,0,50,-10,0,10,false,0,0,false
359,51002,48,61,false,0,50,-10,0,10,false,0,0,false
360,51002,48,58,false,0,50,-10,0,10,false,0,0,false
361,51002,48,48,false,0,50,-10,0,10,false,0,0,false
362,51002,48,61,false,0,50,-10,0,10,false,0,0,false
363,51002,48,48,false,0,50,-10,0,10,false,0,0,false
364,51002,48,63,false,0,50,-10,0,10,false,0,0,false
365,51002,48,50,false,0,50,-10,0,10,false,0,0,false
366,51002,48,48,false,0,50,-10,0,10,false,0,0,false
367,51002,48,61,false,0,50,-10,0,10,false,0,0,false
368,51002,48,48,false,0,50,-10,0,10,false,0,0,false
369,51002,48,48,false,0,50,-10,0,10,false,0,0,false
370,51002,48,63,false,0,50,-10,0,10,false,0,0,false
371,51002,48,61,false,0,50,-10,0,10,false,0,0,false
372,51002,48,48,false,0,50,-10,0,10,false,0,0,false
373,51002,48,50,false,0,50,-10,0,10,false,0,0,false
374,51002,48,63,false,0,50,-10,0,10,false,0,0,false
375,51002,48,48,false,0,50,-10,0,10,false,0,0,false
376,51002,48,50,false,0,50,-10,0,10,false,0,0,false
377,51002,48,48,false,0,50,-10,0,10,false,0,0,false
378,51002,48,63,false,0,50,-10,0,10,false,0,0,false
379,51002,48,63,false,0,50,-10,0,10,false,0,0,false
380,51002,48,63,false,0,50,-10,0,10,false,0,0,false
381,51002,48,58,false,0,50,-10,0,10,false,0,0,false
382,51002,48,58,false,0,50,-10,0,10,false,0,0,false
383,51002,48,50,false,0,50,-10,0,10,false,0,0,false
384,51002,48,60,false,0,50,-10,0,10,false,0,0,false
385,51002,48,61,false,0,50,-10,0,10,false,0,0,false
386,51002,48,60,false,0,50,-10,0,10,false,0,0,false
387,51002,48,50,false,0,50,-10,0,10,false,0,0,false
388,51002,48,48,false,0,50,-10,0,10,false,0,0,false
389,51002,48,60,false,0,50,-10,0,10,false,0,0,false
390,51002,48,48,false,0,50,-10,0,10,false,0,0,false
391,51002,48,48,false,0,50,-10,0,10,false,0,0,false
392,51002,48,48,false,0,50,-10,0,10,false,0,0,false
393,51002,48,48,false,0,50,-10,0,10,false,0,0,false
394,51002,48,60,false,0,50,-10,0,10,false,0,0,false
395,51002,48,60,false,0,50,-10,0,10,false,0,0,false
396,51002,48,48,false,0,50,-10,0,10,false,0,0,false
397,51002,48,48,false,0,50,-10,0,10,false,0,0,false
398,51002,48,50,false,0,50,-10,0,10,false,0,0,false
399,51002,48,61,false,0,50,-10,0,10,false,0,0,false
400,51002,48,58,false,0,50,-10,0,10,false,0,0,false
401,51002,48,61,false,0,50,-10,0,10,false,0,0,false
402,51002,48,61,false,0,50,-10,0,10,false,0,0,false
403,51002,48,48,false,0,50,-10,0,10,false,0,0,false
404,51002,48,48,false,0,50,-10,0,10,false,0,0,false
405,51002,48,48,false,0,50,-10,0,10,false,0,0,false
406,51002,48,48,false,0,50,-10,0,10,false,0,0,false
407,51002,48,48,false,0,50,-10,0,10,false,0,0,false
408,51002,48,48,false,0,50,-10,0,10,false,0,0,false
409,51002,48,61,false,0,50,-10,0,10,false,0,0,false
410,51002,48,48,false,0,50,-10,0,10,false,0,0,false
411,51002,48,63,false,0,50,-10,0,10,false,0,0,false
412,51002,48,48,false,0,50,-10,0,10,false,0,0,false
413,51002,48,63,false,0,50,-10,0,10,false,0,0,false
414,51002,48,61,false,0,50,-10,0,10,false,0,0,false
415,51002,48,48,false,0,50,-10,0,10,false,0,0,false
416,51002,48,60,false,0,50,-10,0,10,false,0,0,false
417,51002,48,60,false,0,50,-10,0,10,false,0,0,false
