50009,78,33,111,38,14,67,103,43,62,50,20,35,29,48,33,62,44,50,53
50010,114,38,84,75,41,78,76,79,99,64,56,71,49,57,41,83,81,86,60
50011,108,80,91,73,63,55,59,81,95,47,81,89,91,99,83,126,70,76,102
50012,101,40,100,62,25,68,93,67,86,54,43,62,57,65,40,92,68,73,68
50014,93,23,97,54,20,82,90,59,78,65,35,53,38,46,29,71,60,65,49
50015,118,41,78,78,44,66,71,82,102,58,59,74,52,60,44,86,84,89,63
50016,102,42,107,62,26,59,100,68,86,45,43,62,58,66,42,85,68,73,69
50019,111,55,94,75,39,55,87,80,85,50,56,75,66,74,55,101,67,73,77
50020,119,42,80,79,45,68,72,84,103,60,61,76,53,61,46,87,85,91,64
50021,150,63,74,99,66,79,59,104,136,71,81,96,74,82,66,109,105,111,85
50022,77,32,109,37,13,64,102,43,61,47,19,41,35,56,32,68,43,49,59
50023,102,26,87,62,28,90,80,68,86,74,44,62,45,53,38,78,68,74,56
50024,86,39,116,47,20,66,111,52,71,50,28,49,44,63,39,76,53,58,66
50025,93,38,115,53,18,66,110,59,77,48,35,54,54,62,38,77,59,65,65
50026,102,20,102,63,29,91,95,53,87,74,44,45,23,31,0,56,69,74,34
50027,108,67,107,73,51,55,73,80,95,47,68,87,78,86,70,113,70,76,89
50028,85,26,104,45,8,74,96,51,69,57,27,46,43,51,26,76,51,57,54
50029,82,27,104,42,0,70,97,48,66,54,24,40,34,51,27,63,48,54,54
50030,115,39,78,75,42,71,71,80,99,69,57,72,50,58,42,83,81,87,61
50031,90,33,110,51,24,83,104,43,75,78,48,35,11,32,11,44,56,62,36
50032,73,38,116,34,19,58,110,39,58,41,13,43,37,63,38,69,39,45,66
50033,74,34,112,35,15,63,105,40,59,46,16,33,28,47,34,60,41,46,51
50034,105,32,88,65,31,90,81,71,89,73,46,71,49,57,40,82,71,76,60
50035,80,32,110,40,12,68,103,45,64,51,21,37,31,50,32,62,46,52,54
50036,98,36,109,58,23,63,102,64,82,49,40,59,53,61,36,86,64,70,64
50037,95,27,109,55,41,88,101,48,79,72,57,40,17,27,16,51,61,67,30
50038,90,28,105,50,10,78,98,44,74,62,32,36,31,47,22,58,56,62,50
50039,97,60,103,58,44,43,87,65,73,35,52,74,75,82,60,103,55,61,85
50040,93,31,103,53,18,78,96,59,77,61,35,54,46,54,32,79,59,65,57
50041,91,25,102,51,14,80,95,57,75,63,33,50,40,47,29,73,57,63,51
51001,27,121,195,76,102,75,118,81,49,92,86,89,106,125,121,138,66,53,130
51002,0,100,178,54,81,58,101,59,28,62,65,68,84,103,100,116,44,32,108
51003,51,146,219,100,126,99,142,105,73,116,111,114,130,149,146,163,90,78,154
51004,27,123,199,58,104,79,122,82,45,85,88,91,107,126,123,139,52,55,131
51005,26,90,156,46,71,36,78,49,9,52,55,58,74,93,90,106,34,22,98
51006,12,108,186,62,89,66,109,67,35,70,73,76,92,111,108,124,52,40,116
51007,40,135,212,90,116,91,134,95,63,98,101,104,120,139,136,152,80,68,144
51008,22,117,194,72,98,74,116,77,39,80,83,86,102,121,117,134,62,49,126
51010,39,105,182,50,86,90,133,64,56,67,70,73,89,108,105,121,41,41,113
51011,12,98,172,53,79,52,95,58,21,69,64,67,83,102,98,115,43,31,107
51012,22,114,175,69,95,55,98,74,42,72,80,83,99,118,114,131,59,47,123
51013,34,90,161,46,71,34,84,49,11,40,55,58,74,93,90,107,35,22,99
51014,28,124,200,79,105,80,123,83,46,86,89,92,108,127,124,140,69,56,133
51015,39,135,211,89,116,91,134,94,56,97,100,103,119,138,135,151,79,67,143
