who,pro_com,selectedhospitalemp,selectedhospital
1403,52022,55,55
1404,52023,55,49
1405,52025,55,55
1406,52028,55,55
1407,52028,55,55
1408,52028,55,55
1409,52028,55,55
1410,52028,55,55
1411,52032,55,51
1412,52032,55,52
1413,52033,55,48
1414,52034,55,52
1415,51002,56,48
1416,51004,56,48
1417,51013,56,49
1418,51022,56,48
1419,48006,56,61
1420,48014,56,64
1421,48017,56,54
1422,48018,56,61
1423,48019,56,64
1424,48021,56,70
1425,53009,56,53
1426,49004,56,68
1427,49007,56,59
1428,49009,56,62
1429,49014,56,68
1430,49017,56,62
1431,46001,56,69
1432,46005,56,66
1433,46005,56,66
1434,46007,56,69
1435,46009,56,71
1436,46011,56,71
1437,46013,56,56
1438,46015,56,71
1439,46017,56,69
1440,46018,56,69
1441,46022,56,69
1442,46023,56,71
1443,46024,56,66
1444,46028,56,56
1445,46030,56,56
1446,46033,56,66
1447,45001,56,56
1448,45001,56,56
1449,45001,56,56
1450,45001,56,56
1451,45001,56,56
1452,45001,56,56
1453,45001,56,56
1454,45001,56,56
1455,45002,56,56
1456,45003,56,56
1457,45003,56,56
1458,45003,56,56
1459,45003,56,56
1460,45003,56,56
1461,45003,56,56
1462,45003,56,56
1463,45003,56,56
1464,45003,56,56
1465,45003,56,56
1466,45003,56,56
1467,45003,56,56
1468,45003,56,56
1469,45003,56,56
1470,45003,56,56
1471,45003,56,56
1472,45003,56,56
1473,45003,56,56
1474,45003,56,56
1475,45003,56,56
1476,45003,56,56
1477,45003,56,56
1478,45003,56,56
1479,45003,56,56
1480,45003,56,56
1481,45003,56,56
1482,45003,56,56
1483,45003,56,56
1484,45003,56,56
1485,45003,56,56
1486,45003,56,56
1487,45003,56,56
1488,45003,56,56
1489,45003,56,56
1490,45003,56,56
1491,45003,56,56
1492,45004,56,56
1493,45005,56,56
1494,45006,56,56
1495,45007,56,56
1496,45007,56,56
1497,45008,56,56
1498,45008,56,56
1499,45008,56,56
1500,45009,56,56
1501,45009,56,56
1502,45010,56,56
1503,45010,56,56
1504,45010,56,56
1505,45010,56,56
1506,45010,56,56
1507,45010,56,56
1508,45010,56,56
1509,45010,56,56
1510,45010,56,56
1511,45010,56,56
1512,45010,56,56
1513,45010,56,56
1514,45010,56,56
1515,45010,56,56
1516,45010,56,56
1517,45010,56,56
1518,45010,56,56
1519,45010,56,56
1520,45010,56,56
1521,45010,56,56
1522,45010,56,56
1523,45010,56,56
1524,45010,56,56
1525,45010,56,56
1526,45010,56,56
1527,45010,56,56
1528,45010,56,56
1529,45010,56,56
1530,45010,56,56
1531,45010,56,56
1532,45010,56,56
1533,45010,56,56
1534,45010,56,56
1535,45010,56,56
1536,45010,56,56
1537,45010,56,56
1538,45010,56,56
1539,45010,56,56
1540,45010,56,56
1541,45010,56,56
1542,45010,56,56
1543,45010,56,56
1544,45010,56,56
1545,45011,56,56
1546,45011,56,56
1547,45011,56,56
1548,45011,56,56
1549,45011,56,56
1550,45011,56,56
1551,45012,56,56
1552,45013,56,56
1553,45014,56,56
1554,45014,56,56
